id,i1,f1,s1,s2,b1,t1,d1,dec1,nul1
0,0,0.0,val-000,unique-00000000,true,2020-01-01T00:00:00.000000Z,2020-01-01,0,
1,435761,0.97,val-001,unique-00000001,false,2020-01-01T00:00:01.000001Z,2020-01-02,0.01,1
2,871522,1.94,val-002,unique-00000002,false,2020-01-01T00:00:02.000002Z,2020-01-03,0.02,2
4,743044,3.88,val-004,unique-00000004,false,2020-01-01T00:00:04.000004Z,2020-01-05,0.04,4
5,178805,4.85,val-005,unique-00000005,false,2020-01-01T00:00:05.000005Z,2020-01-06,0.05,5
6,614566,5.82,val-006,unique-00000006,true,2020-01-01T00:00:06.000006Z,2020-01-07,0.06,6
7,50328,6.79,val-007,unique-00000007,false,2020-01-01T00:00:07.000007Z,2020-01-08,0.07,
8,486088,7.76,val-008,unique-00000008,false,2020-01-01T00:00:08.000008Z,2020-01-09,0.08,8
9,921849,8.73,val-009,unique-00000009,true,2020-01-01T00:00:09.000009Z,2020-01-10,0.09,9
10,357610,9.7,val-010,unique-00000010,false,2020-01-01T00:00:10.000010Z,2020-01-11,0.1,10
11,793371,10.67,val-011,unique-00000011,false,2020-01-01T00:00:11.000011Z,2020-01-12,0.11,11
12,229132,11.64,val-012x,unique-00000012,true,2020-01-01T00:00:12.000012Z,2020-01-13,0.12,12
13,664893,12.61,val-013,unique-00000013,false,2020-01-01T00:00:13.000013Z,2020-01-14,0.13,13
14,100654,13.58,val-014,unique-00000014,false,2020-01-01T00:00:14.000014Z,2020-01-15,0.14,
15,536415,14.55,val-015,unique-00000015,true,2020-01-01T00:00:15.000015Z,2020-01-16,0.15,15
16,972176,15.52,val-016,unique-00000016,false,2020-01-01T00:00:16.000016Z,2020-01-17,0.16,16
17,407937,16.49,val-017,unique-00000017,false,2020-01-01T00:00:17.000017Z,2020-01-18,0.17,17
18,843698,17.46,val-018,unique-00000018,true,2020-01-01T00:00:18.000018Z,2020-01-19,0.18,18
19,279459,18.43,val-019,unique-00000019,false,2020-01-01T00:00:19.000019Z,2020-01-20,0.19,19
20,715220,19.4,val-020,unique-00000020,false,2020-01-01T00:00:20.000020Z,2020-01-21,0.2,20
21,150981,20.37,val-021,unique-00000021,true,2020-01-01T00:00:21.000021Z,2020-01-22,0.21,
22,586742,21.34,val-022,unique-00000022,false,2020-01-01T00:00:22.000022Z,2020-01-23,0.22,22
23,22503,22.31,val-023,unique-00000023,false,2020-01-01T00:00:23.000023Z,2020-01-24,0.23,23
24,458264,23.28,val-024,unique-00000024,true,2020-01-01T00:00:24.000024Z,2020-01-25,0.24,24
25,894025,24.25,val-025,unique-00000025,false,2020-01-01T00:00:25.000025Z,2020-01-26,0.25,25
26,329786,25.22,val-026,unique-00000026,false,2020-01-01T00:00:26.000026Z,2020-01-27,0.26,26
27,765547,26.19,val-027,unique-00000027,true,2020-01-01T00:00:27.000027Z,2020-01-28,0.27,27
28,201308,27.16,val-028,unique-00000028,false,2020-01-01T00:00:28.000028Z,2020-01-29,0.28,
29,637069,28.13,val-029,unique-00000029,false,2020-01-01T00:00:29.000029Z,2020-01-30,0.29,29
30,72830,29.1,val-030,unique-00000030,true,2020-01-01T00:00:30.000030Z,2020-01-31,0.3,30
31,508591,30.07,val-031,unique-00000031,false,2020-01-01T00:00:31.000031Z,2020-02-01,0.31,31
