id,region,amount,note
0,r0,0.0,row-00000
1,r1,0.37,row-00001
2,r2,0.74,row-00002
3,r3,1.11,row-00003
4,r0,1.48,row-00004
5,r1,1.85,row-00005
6,r2,2.22,row-00006
7,r3,2.59,row-00007
8,r0,2.96,row-00008
9,r1,3.33,row-00009
10,r2,3.7,row-00010
11,r3,4.07,row-00011
12,r0,4.44,row-00012
13,r1,4.81,row-00013
14,r2,5.18,row-00014
15,r3,5.55,row-00015
16,r0,5.92,row-00016
17,r1,6.29,row-00017
18,r2,6.66,row-00018
19,r3,7.03,row-00019
20,r0,7.4,row-00020
21,r1,7.77,row-00021
22,r2,8.14,row-00022
23,r3,8.51,row-00023
24,r0,8.88,row-00024
25,r1,9.25,row-00025
26,r2,9.62,row-00026
27,r3,9.99,row-00027
28,r0,10.36,row-00028
29,r1,10.73,row-00029
30,r2,11.1,row-00030
31,r3,11.47,row-00031
32,r0,11.84,row-00032
33,r1,12.21,row-00033
34,r2,12.58,row-00034
35,r3,12.95,row-00035
36,r0,13.32,row-00036
37,r1,13.69,row-00037
38,r2,14.06,row-00038
39,r3,14.43,row-00039
40,r0,14.8,row-00040
41,r1,15.17,row-00041
42,r2,15.54,row-00042
43,r3,15.91,row-00043
44,r0,16.28,row-00044
45,r1,16.65,row-00045
46,r2,17.02,row-00046
47,r3,17.39,row-00047
48,r0,17.76,row-00048
49,r1,18.13,row-00049
50,r2,18.5,row-00050
51,r3,18.87,row-00051
52,r0,19.24,row-00052
53,r1,19.61,row-00053
54,r2,19.98,row-00054
55,r3,20.35,row-00055
56,r0,20.72,row-00056
57,r1,21.09,row-00057
58,r2,21.46,row-00058
59,r3,21.83,row-00059
60,r0,22.2,row-00060
61,r1,22.57,row-00061
62,r2,22.94,row-00062
63,r3,23.31,row-00063
64,r0,23.68,row-00064
65,r1,24.05,row-00065
66,r2,24.42,row-00066
67,r3,24.79,row-00067
68,r0,25.16,row-00068
69,r1,25.53,row-00069
70,r2,25.9,row-00070
71,r3,26.27,row-00071
72,r0,26.64,row-00072
73,r1,27.01,row-00073
74,r2,27.38,row-00074
75,r3,27.75,row-00075
76,r0,28.12,row-00076
77,r1,28.49,row-00077
78,r2,28.86,row-00078
79,r3,29.23,row-00079
80,r0,29.6,row-00080
81,r1,29.97,row-00081
82,r2,30.34,row-00082
83,r3,30.71,row-00083
84,r0,31.08,row-00084
85,r1,31.45,row-00085
86,r2,31.82,row-00086
87,r3,32.19,row-00087
88,r0,32.56,row-00088
89,r1,32.93,row-00089
90,r2,33.3,row-00090
91,r3,33.67,row-00091
92,r0,34.04,row-00092
93,r1,34.41,row-00093
94,r2,34.78,row-00094
95,r3,35.15,row-00095
96,r0,35.52,row-00096
97,r1,35.89,row-00097
98,r2,36.26,row-00098
99,r3,36.63,row-00099
100,r0,37.0,row-00100
101,r1,37.37,row-00101
102,r2,37.74,row-00102
103,r3,38.11,row-00103
104,r0,38.48,row-00104
105,r1,38.85,row-00105
106,r2,39.22,row-00106
107,r3,39.59,row-00107
108,r0,39.96,row-00108
109,r1,40.33,row-00109
110,r2,40.7,row-00110
111,r3,41.07,row-00111
112,r0,41.44,row-00112
113,r1,41.81,row-00113
114,r2,42.18,row-00114
115,r3,42.55,row-00115
116,r0,42.92,row-00116
117,r1,43.29,row-00117
118,r2,43.66,row-00118
119,r3,44.03,row-00119
120,r0,44.4,row-00120
121,r1,44.77,row-00121
122,r2,45.14,row-00122
123,r3,45.51,row-00123
124,r0,45.88,row-00124
125,r1,46.25,row-00125
126,r2,46.62,row-00126
127,r3,46.99,row-00127
128,r0,47.36,row-00128
129,r1,47.73,row-00129
130,r2,48.1,row-00130
131,r3,48.47,row-00131
132,r0,48.84,row-00132
133,r1,49.21,row-00133
134,r2,49.58,row-00134
135,r3,49.95,row-00135
136,r0,50.32,row-00136
137,r1,50.69,row-00137
138,r2,51.06,row-00138
139,r3,51.43,row-00139
140,r0,51.8,row-00140
141,r1,52.17,row-00141
142,r2,52.54,row-00142
143,r3,52.91,row-00143
144,r0,53.28,row-00144
145,r1,53.65,row-00145
146,r2,54.02,row-00146
147,r3,54.39,row-00147
148,r0,54.76,row-00148
149,r1,55.13,row-00149
150,r2,55.5,row-00150
151,r3,55.87,row-00151
152,r0,56.24,row-00152
153,r1,56.61,row-00153
154,r2,56.98,row-00154
155,r3,57.35,row-00155
156,r0,57.72,row-00156
157,r1,58.09,row-00157
158,r2,58.46,row-00158
159,r3,58.83,row-00159
160,r0,59.2,row-00160
161,r1,59.57,row-00161
162,r2,59.94,row-00162
163,r3,60.31,row-00163
164,r0,60.68,row-00164
165,r1,61.05,row-00165
166,r2,61.42,row-00166
167,r3,61.79,row-00167
168,r0,62.16,row-00168
169,r1,62.53,row-00169
170,r2,62.9,row-00170
171,r3,63.27,row-00171
172,r0,63.64,row-00172
173,r1,64.01,row-00173
174,r2,64.38,row-00174
175,r3,64.75,row-00175
176,r0,65.12,row-00176
177,r1,65.49,row-00177
178,r2,65.86,row-00178
179,r3,66.23,row-00179
180,r0,66.6,row-00180
181,r1,66.97,row-00181
182,r2,67.34,row-00182
183,r3,67.71,row-00183
184,r0,68.08,row-00184
185,r1,68.45,row-00185
186,r2,68.82,row-00186
187,r3,69.19,row-00187
188,r0,69.56,row-00188
189,r1,69.93,row-00189
190,r2,70.3,row-00190
191,r3,70.67,row-00191
192,r0,71.04,row-00192
193,r1,71.41,row-00193
194,r2,71.78,row-00194
195,r3,72.15,row-00195
196,r0,72.52,row-00196
197,r1,72.89,row-00197
198,r2,73.26,row-00198
199,r3,73.63,row-00199
200,r0,74.0,row-00200
201,r1,74.37,row-00201
202,r2,74.74,row-00202
203,r3,75.11,row-00203
204,r0,75.48,row-00204
205,r1,75.85,row-00205
206,r2,76.22,row-00206
207,r3,76.59,row-00207
208,r0,76.96,row-00208
209,r1,77.33,row-00209
210,r2,77.7,row-00210
211,r3,78.07,row-00211
212,r0,78.44,row-00212
213,r1,78.81,row-00213
214,r2,79.18,row-00214
215,r3,79.55,row-00215
216,r0,79.92,row-00216
217,r1,80.29,row-00217
218,r2,80.66,row-00218
219,r3,81.03,row-00219
220,r0,81.4,row-00220
221,r1,81.77,row-00221
222,r2,82.14,row-00222
223,r3,82.51,row-00223
224,r0,82.88,row-00224
225,r1,83.25,row-00225
226,r2,83.62,row-00226
227,r3,83.99,row-00227
228,r0,84.36,row-00228
229,r1,84.73,row-00229
230,r2,85.1,row-00230
231,r3,85.47,row-00231
232,r0,85.84,row-00232
233,r1,86.21,row-00233
234,r2,86.58,row-00234
235,r3,86.95,row-00235
236,r0,87.32,row-00236
237,r1,87.69,row-00237
238,r2,88.06,row-00238
239,r3,88.43,row-00239
240,r0,88.8,row-00240
241,r1,89.17,row-00241
242,r2,89.54,row-00242
243,r3,89.91,row-00243
244,r0,90.28,row-00244
245,r1,90.65,row-00245
246,r2,91.02,row-00246
247,r3,91.39,row-00247
248,r0,91.76,row-00248
249,r1,92.13,row-00249
250,r2,92.5,row-00250
251,r3,92.87,row-00251
252,r0,93.24,row-00252
